GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MeetingPlanner,edu.sc.csce747.MeetingPlanner,Organization,5,150,1,7,1,29,1,8,0,5
MeetingPlanner,edu.sc.csce747.MeetingPlanner,TimeConflictException,0,23,0,0,0,10,0,5,0,5
MeetingPlanner,edu.sc.csce747.MeetingPlanner,Meeting,73,176,3,3,17,46,9,15,6,15
MeetingPlanner,edu.sc.csce747.MeetingPlanner,Person,0,83,0,0,0,20,0,9,0,9
MeetingPlanner,edu.sc.csce747.MeetingPlanner,Calendar,5,523,6,52,1,80,6,32,0,9
MeetingPlanner,edu.sc.csce747.MeetingPlanner,Room,0,83,0,0,0,20,0,9,0,9
